Designator,Mid X,Mid Y,Rotation,Layer
C1,92.71,-119.92,270.0,top
C10,101.6,-130.81,270.0,top
C11,101.6,-107.95,270.0,top
C12,74.93,-106.68,270.0,top
C2,92.71,-131.35,270.0,top
C3,92.71,-108.49,270.0,top
C4,97.79,-119.38,270.0,top
C5,97.79,-130.81,270.0,top
C6,97.83,-107.95,270.0,top
C7,60.96,-111.76,90.0,top
C8,60.96,-129.54,270.0,top
C9,101.6,-119.38,270.0,top
D1,68.58,-133.35,90.0,top
D2,74.93,-133.35,90.0,top
D3,81.28,-133.35,90.0,top
D4,80.01,-113.03,90.0,top
D5,82.55,-105.41,270.0,top
F3,86.36,-111.76,90.0,top
J1,45.72,-113.03,270.0,top
J3,187.96,-121.92,90.0,top
J4,149.86,-121.92,90.0,top
J5,111.76,-121.92,90.0,top
R1,68.58,-119.38,270.0,top
R2,74.93,-119.38,270.0,top
R3,81.28,-119.38,270.0,top
U1,68.58,-111.76,90.0,top
